Age,Gender,ItemPurchased,Category,PurchaseAmount(USD),Location,Color,Season
27,Male,Hoodie,Clothing,26,Georgia,Silver,Summer
57,Male,Shorts,Clothing,67,North Carolina,Gray,Summer
40,Male,Coat,Outerwear,31,California,Pink,Fall
45,Male,Jeans,Clothing,66,California,Maroon,Winter
47,Male,Sunglasses,Accessories,67,Indiana,Cyan,Summer
61,Male,Sneakers,Footwear,61,Colorado,Gold,Winter
60,Male,Jacket,Outerwear,75,Colorado,Teal,Fall
69,Male,Skirt,Clothing,90,North Carolina,Beige,Spring
58,Male,Sweater,Clothing,40,Washington,Olive,Summer
34,Male,T-shirt,Clothing,90,Florida,Gray,Fall
20,Male,Belt,Accessories,20,Washington,Black,Spring
56,Male,Gloves,Accessories,40,Colorado,Turquoise,Summer
64,Male,Hat,Accessories,33,New Hampshire,Brown,Fall
56,Male,Boots,Footwear,98,Maryland,Magenta,Spring
27,Male,Belt,Accessories,42,Maryland,Silver,Spring
35,Male,Coat,Outerwear,62,Texas,Red,Summer
24,Male,Hat,Accessories,45,New Mexico,Indigo,Winter
26,Male,Shoes,Footwear,78,Utah,Green,Summer
32,Male,Handbag,Accessories,80,West Virginia,Gray,Fall
54,Male,Scarf,Accessories,96,Connecticut,Peach,Spring
62,Male,Handbag,Accessories,47,West Virginia,Charcoal,Summer
50,Male,Pants,Clothing,84,Ohio,Orange,Winter
70,Male,Shoes,Footwear,31,Texas,Beige,Spring
48,Male,Sunglasses,Accessories,63,Washington,Yellow,Spring
20,Male,Shorts,Clothing,97,Wisconsin,White,Spring
46,Male,Jacket,Outerwear,99,Louisiana,Gray,Winter
51,Male,Sandals,Footwear,90,Iowa,Peach,Winter
53,Male,Shoes,Footwear,68,New York,Violet,Fall
44,Male,Jewelry,Accessories,80,Idaho,Magenta,Spring
29,Male,Sandals,Footwear,91,Delaware,Maroon,Summer
64,Male,Pants,Clothing,30,Kentucky,Cyan,Spring
51,Male,Shoes,Footwear,90,Connecticut,White,Spring
50,Male,Socks,Clothing,28,New Mexico,Brown,Spring
43,Male,Socks,Clothing,46,Georgia,Red,Winter
61,Male,Dress,Clothing,60,Washington,Orange,Fall
55,Male,Shoes,Footwear,59,North Dakota,White,Spring
56,Male,Hat,Accessories,68,Ohio,Green,Fall
33,Male,Backpack,Accessories,79,Tennessee,Black,Summer
43,Male,Backpack,Accessories,94,New York,Gold,Winter
21,Male,Pants,Clothing,83,Michigan,Lavender,Summer
58,Male,Gloves,Accessories,62,Georgia,Turquoise,Spring
41,Male,Scarf,Accessories,85,New Mexico,Pink,Spring
39,Male,Hoodie,Clothing,30,Louisiana,Silver,Summer
54,Male,Jeans,Clothing,24,South Dakota,Gray,Spring
43,Male,Backpack,Accessories,25,Montana,Indigo,Spring
28,Male,Sandals,Footwear,37,New Mexico,Teal,Summer
59,Male,Belt,Accessories,69,South Carolina,Green,Summer
28,Male,Shoes,Footwear,97,Ohio,Violet,Summer
68,Male,Gloves,Accessories,24,North Carolina,Cyan,Summer
20,Male,Belt,Accessories,30,Idaho,Blue,Summer
21,Male,Jacket,Outerwear,53,Oklahoma,Orange,Fall
50,Male,Dress,Clothing,70,Georgia,Charcoal,Spring
32,Male,Shirt,Clothing,76,Kentucky,Beige,Winter
24,Male,Scarf,Accessories,95,Delaware,Black,Fall
55,Male,Coat,Outerwear,51,Massachusetts,Lavender,Winter
61,Male,Handbag,Accessories,41,Nebraska,Lavender,Winter
61,Male,Sunglasses,Accessories,71,Maine,Turquoise,Winter
28,Male,T-shirt,Clothing,66,Pennsylvania,Purple,Summer
60,Male,Shirt,Clothing,84,Nebraska,Olive,Winter
49,Male,Handbag,Accessories,95,Virginia,Turquoise,Winter
33,Male,Jewelry,Accessories,90,Ohio,Teal,Summer
45,Male,Hoodie,Clothing,36,Nebraska,Lavender,Summer
29,Male,Gloves,Accessories,22,Ohio,Purple,Spring
58,Male,Coat,Outerwear,89,Kentucky,Blue,Winter
22,Male,Sandals,Footwear,50,Tennessee,Teal,Spring
55,Male,Boots,Footwear,36,Maine,Lavender,Fall
19,Male,Pants,Clothing,52,Montana,Silver,Spring
68,Male,Socks,Clothing,29,Maryland,Olive,Fall
61,Male,Blouse,Clothing,89,Georgia,Brown,Fall
68,Male,Handbag,Accessories,47,Hawaii,Yellow,Fall
52,Male,Jewelry,Accessories,25,Rhode Island,Brown,Spring
41,Male,Pants,Clothing,74,Nebraska,Cyan,Fall
29,Male,Belt,Accessories,46,Michigan,Magenta,Fall
68,Male,Jeans,Clothing,22,North Carolina,Magenta,Fall
36,Male,Shirt,Clothing,25,Minnesota,Orange,Summer
55,Male,Belt,Accessories,80,Maryland,Maroon,Spring
28,Male,Jeans,Clothing,76,Hawaii,Green,Spring
39,Male,Jeans,Clothing,30,Oregon,Teal,Summer
54,Male,Sweater,Clothing,79,New Mexico,Black,Fall
40,Male,Sneakers,Footwear,22,Illinois,Magenta,Winter
31,Male,Socks,Clothing,36,Utah,Olive,Fall
30,Male,Socks,Clothing,77,Maine,Yellow,Fall
45,Male,Sunglasses,Accessories,33,Virginia,Purple,Fall
48,Male,Sneakers,Footwear,64,Florida,Beige,Winter
45,Male,Socks,Clothing,53,Ohio,Indigo,Fall
60,Male,Shoes,Footwear,36,Virginia,Pink,Fall
59,Male,Blouse,Clothing,70,Kansas,Blue,Spring
18,Male,Shorts,Clothing,96,Arkansas,Cyan,Winter
70,Male,Jacket,Outerwear,27,Massachusetts,Orange,Spring
20,Male,Sweater,Clothing,64,Idaho,Black,Winter
65,Male,Jacket,Outerwear,23,Wisconsin,Maroon,Spring
29,Male,Scarf,Accessories,33,New Mexico,Violet,Summer
22,Male,Jacket,Outerwear,34,North Carolina,Beige,Winter
27,Male,Sweater,Clothing,35,Iowa,Gray,Summer
36,Male,Coat,Outerwear,62,Idaho,Gray,Summer
59,Male,Boots,Footwear,75,Ohio,Brown,Fall
62,Male,Hoodie,Clothing,29,Alabama,Indigo,Summer
34,Male,Hat,Accessories,28,Wyoming,Violet,Spring
59,Male,T-shirt,Clothing,20,Alabama,Blue,Spring
49,Male,Coat,Outerwear,96,Mississippi,Red,Winter
18,Male,Dress,Clothing,43,Pennsylvania,Peach,Summer
55,Male,Shirt,Clothing,94,Wyoming,Olive,Fall
38,Male,Skirt,Clothing,81,Maryland,White,Fall
50,Male,Jewelry,Accessories,75,North Carolina,Magenta,Summer
61,Male,Hat,Accessories,81,Pennsylvania,Beige,Summer
48,Male,Shorts,Clothing,92,Idaho,Gold,Fall
22,Male,Scarf,Accessories,96,California,Purple,Spring
48,Male,Jewelry,Accessories,71,Tennessee,White,Fall
57,Male,Sunglasses,Accessories,50,Missouri,Indigo,Summer
33,Male,Coat,Outerwear,72,North Dakota,Charcoal,Spring
58,Male,Jacket,Outerwear,28,West Virginia,Pink,Winter
37,Male,Sweater,Clothing,59,Arizona,Silver,Fall
18,Male,Coat,Outerwear,33,Oklahoma,Blue,Summer
65,Male,Scarf,Accessories,59,Pennsylvania,Blue,Fall
62,Male,Belt,Accessories,30,Idaho,Brown,Spring
54,Male,Hat,Accessories,85,South Carolina,Cyan,Winter
35,Male,Backpack,Accessories,97,Washington,Teal,Summer
34,Male,T-shirt,Clothing,36,Arkansas,Purple,Fall
25,Male,Jewelry,Accessories,85,Utah,Turquoise,Winter
53,Male,Sunglasses,Accessories,62,Alaska,Olive,Winter
45,Male,Jeans,Clothing,71,West Virginia,White,Winter
49,Male,Pants,Clothing,21,Louisiana,Turquoise,Winter
40,Male,Backpack,Accessories,61,Arizona,Silver,Spring
38,Male,Scarf,Accessories,58,Connecticut,Violet,Spring
44,Male,Sweater,Clothing,80,North Carolina,Lavender,Spring
68,Male,Jewelry,Accessories,50,South Dakota,Magenta,Spring
60,Male,Sneakers,Footwear,48,Delaware,Indigo,Winter
25,Male,Jewelry,Accessories,40,Connecticut,Black,Winter
19,Male,Coat,Outerwear,34,Tennessee,Peach,Summer
57,Male,Coat,Outerwear,46,New Hampshire,Beige,Fall
58,Male,Sunglasses,Accessories,27,Vermont,Black,Summer
49,Male,Handbag,Accessories,98,Idaho,Turquoise,Spring
19,Male,Sweater,Clothing,73,North Carolina,Peach,Fall
50,Male,Pants,Clothing,28,Nevada,Gold,Spring
30,Male,Gloves,Accessories,76,Delaware,Silver,Fall
52,Male,Sweater,Clothing,83,Texas,Peach,Fall
35,Male,Hoodie,Clothing,23,Tennessee,Charcoal,Spring
35,Male,Hat,Accessories,28,Delaware,Beige,Fall
33,Male,T-shirt,Clothing,83,Massachusetts,Olive,Spring
52,Male,Skirt,Clothing,96,Minnesota,Violet,Winter
69,Male,Sneakers,Footwear,62,Texas,Peach,Fall
27,Male,Shorts,Clothing,25,Nebraska,Teal,Fall
66,Male,Hoodie,Clothing,97,Oklahoma,Violet,Winter
28,Male,Hoodie,Clothing,61,Texas,Cyan,Fall
22,Male,Shoes,Footwear,66,New York,Olive,Summer
69,Male,Hoodie,Clothing,67,Washington,Pink,Spring
28,Male,Sunglasses,Accessories,80,Maryland,Purple,Summer
55,Male,Skirt,Clothing,25,New Hampshire,Violet,Fall
30,Male,Hat,Accessories,58,New York,Peach,Fall
67,Male,Backpack,Accessories,96,Hawaii,Charcoal,Winter
25,Male,Sunglasses,Accessories,77,California,Lavender,Spring
49,Male,Belt,Accessories,65,Indiana,Purple,Summer
34,Male,Jewelry,Accessories,36,Louisiana,Indigo,Spring
22,Male,Sneakers,Footwear,84,Pennsylvania,Magenta,Winter
63,Male,T-shirt,Clothing,58,Florida,Peach,Fall
70,Male,Handbag,Accessories,62,North Carolina,Charcoal,Spring
36,Male,Hat,Accessories,67,Massachusetts,Purple,Fall
42,Male,Sweater,Clothing,20,Iowa,Orange,Spring
27,Male,Sandals,Footwear,90,North Dakota,Lavender,Summer
23,Male,Scarf,Accessories,58,Iowa,Beige,Winter
50,Male,Shirt,Clothing,53,Delaware,Maroon,Spring
56,Male,Gloves,Accessories,30,New York,Charcoal,Winter
37,Male,Hoodie,Clothing,65,New Hampshire,White,Winter
67,Male,Jewelry,Accessories,41,Kentucky,Lavender,Summer
67,Male,Shirt,Clothing,73,Illinois,Black,Spring
50,Male,Hoodie,Clothing,98,North Carolina,Teal,Spring
36,Male,Shoes,Footwear,36,Connecticut,Magenta,Winter
62,Male,T-shirt,Clothing,81,Wisconsin,Brown,Summer
65,Male,Skirt,Clothing,90,Massachusetts,Peach,Winter
23,Male,Handbag,Accessories,83,Illinois,Cyan,Summer
46,Male,Shirt,Clothing,91,New Mexico,Pink,Winter
18,Male,Pants,Clothing,36,Iowa,Purple,Summer
58,Male,Coat,Outerwear,53,Alabama,Purple,Spring
31,Male,Jeans,Clothing,39,Maryland,White,Winter
39,Male,Gloves,Accessories,33,Ohio,Silver,Winter
69,Male,T-shirt,Clothing,76,Ohio,Green,Spring
68,Male,Boots,Footwear,23,Nevada,Teal,Winter
41,Male,Jeans,Clothing,54,South Carolina,Indigo,Fall
31,Male,Sneakers,Footwear,89,Nevada,Pink,Summer
48,Male,Sneakers,Footwear,38,Wisconsin,Indigo,Summer
59,Male,Hat,Accessories,36,Tennessee,Red,Winter
34,Male,Pants,Clothing,66,Florida,Violet,Spring
21,Male,Jewelry,Accessories,42,Georgia,Cyan,Spring
29,Male,Jewelry,Accessories,36,Kentucky,Red,Winter
41,Male,Blouse,Clothing,86,Ohio,Gray,Spring
62,Male,Handbag,Accessories,49,Connecticut,Gold,Fall
27,Male,Shirt,Clothing,41,Idaho,Pink,Summer
49,Male,Dress,Clothing,82,Georgia,Cyan,Spring
67,Male,T-shirt,Clothing,53,Tennessee,Red,Fall
20,Male,Shoes,Footwear,21,Hawaii,Gold,Summer
37,Male,Belt,Accessories,66,Maryland,Charcoal,Fall
69,Male,Belt,Accessories,89,Nevada,Orange,Summer
66,Male,Handbag,Accessories,55,New Hampshire,Blue,Fall
37,Male,Scarf,Accessories,42,North Dakota,Blue,Summer
63,Male,Shorts,Clothing,52,Oklahoma,Orange,Fall
47,Male,Sandals,Footwear,92,North Carolina,Blue,Winter
26,Male,Pants,Clothing,56,Tennessee,White,Summer
68,Male,Dress,Clothing,96,Montana,Green,Winter
51,Male,T-shirt,Clothing,64,Wisconsin,Silver,Winter
48,Male,Dress,Clothing,48,Connecticut,Lavender,Winter
60,Male,Socks,Clothing,83,New Jersey,Beige,Summer
68,Male,Scarf,Accessories,91,Mississippi,Violet,Summer
25,Male,Backpack,Accessories,94,Wyoming,Gray,Fall
57,Male,Skirt,Clothing,62,Illinois,Red,Spring
41,Male,Socks,Clothing,55,Louisiana,Lavender,Spring
59,Male,Coat,Outerwear,68,Oregon,Peach,Spring
44,Male,Jewelry,Accessories,76,South Dakota,Indigo,Winter
42,Male,Backpack,Accessories,31,Michigan,Black,Winter
35,Male,Belt,Accessories,81,New Jersey,Beige,Spring
36,Male,Dress,Clothing,83,Oregon,Red,Winter
54,Male,Skirt,Clothing,21,Iowa,Black,Spring
37,Male,Dress,Clothing,22,South Carolina,Teal,Spring
20,Male,T-shirt,Clothing,33,Indiana,Blue,Summer
23,Male,Skirt,Clothing,23,Oregon,Beige,Spring
61,Male,Shorts,Clothing,96,New York,Teal,Summer
37,Male,Jewelry,Accessories,21,New Mexico,Maroon,Spring
23,Male,Pants,Clothing,39,Louisiana,Yellow,Spring
63,Male,Belt,Accessories,73,South Carolina,Indigo,Fall
47,Male,Jeans,Clothing,64,Maine,Magenta,Spring
63,Male,Jeans,Clothing,68,Indiana,Beige,Summer
56,Male,Hat,Accessories,89,Iowa,Maroon,Fall
68,Male,Blouse,Clothing,29,Mississippi,Magenta,Summer
64,Male,Shirt,Clothing,97,Arkansas,Teal,Summer
62,Male,Shirt,Clothing,45,South Carolina,Orange,Winter
34,Male,T-shirt,Clothing,70,Indiana,Charcoal,Winter
49,Male,Coat,Outerwear,56,Florida,Turquoise,Summer
40,Male,Jacket,Outerwear,55,Alaska,Pink,Fall
50,Male,Hoodie,Clothing,46,New York,Teal,Winter
25,Male,Scarf,Accessories,95,Texas,White,Winter
30,Male,Belt,Accessories,88,North Dakota,Maroon,Winter
54,Male,Sneakers,Footwear,92,Vermont,Violet,Fall
40,Male,Socks,Clothing,49,New Jersey,Brown,Summer
49,Male,Sandals,Footwear,89,Maryland,Indigo,Fall
27,Male,Coat,Outerwear,22,Connecticut,Black,Winter
27,Male,Shoes,Footwear,61,Illinois,Black,Summer
48,Male,Scarf,Accessories,29,Maryland,Olive,Spring
40,Male,Sneakers,Footwear,82,Minnesota,Orange,Winter
67,Male,Belt,Accessories,94,Florida,Pink,Spring
52,Male,Handbag,Accessories,99,California,Olive,Spring
22,Male,Handbag,Accessories,59,Mississippi,Cyan,Fall
62,Male,Boots,Footwear,90,Washington,White,Summer
20,Male,Boots,Footwear,100,Wisconsin,Red,Winter
41,Male,Pants,Clothing,62,Pennsylvania,Blue,Winter
34,Male,Sunglasses,Accessories,78,Missouri,Olive,Fall
23,Male,Hoodie,Clothing,94,Oklahoma,Green,Spring
32,Male,Shoes,Footwear,74,Pennsylvania,Yellow,Summer
68,Male,Handbag,Accessories,52,Kentucky,Black,Spring
30,Male,Jacket,Outerwear,81,Vermont,Blue,Fall
66,Male,Blouse,Clothing,20,Oregon,Pink,Winter
62,Male,Pants,Clothing,32,Utah,Lavender,Summer
50,Male,Boots,Footwear,63,Nebraska,Cyan,Fall
55,Male,Boots,Footwear,79,Pennsylvania,Cyan,Spring
19,Male,Sweater,Clothing,23,Vermont,Gold,Winter
67,Male,Gloves,Accessories,64,Kentucky,Green,Winter
18,Male,Socks,Clothing,69,Iowa,Red,Winter
58,Male,Jeans,Clothing,69,Indiana,Magenta,Fall
69,Male,Pants,Clothing,24,Kansas,Red,Winter
62,Male,Shorts,Clothing,50,Illinois,Yellow,Summer
28,Male,Gloves,Accessories,97,North Carolina,Turquoise,Fall
53,Male,Sandals,Footwear,91,Ohio,Cyan,Fall
27,Male,Blouse,Clothing,37,Illinois,Yellow,Spring
55,Male,Jacket,Outerwear,55,Indiana,Yellow,Winter
34,Male,Jewelry,Accessories,52,Kansas,Maroon,Winter
25,Male,Hat,Accessories,80,Illinois,Brown,Spring
66,Male,Socks,Clothing,79,Pennsylvania,Gold,Spring
57,Male,Handbag,Accessories,23,New York,Charcoal,Summer
46,Male,Pants,Clothing,73,Utah,Beige,Winter
38,Male,Gloves,Accessories,99,New Jersey,Indigo,Fall
23,Male,Sweater,Clothing,22,Idaho,Red,Spring
42,Male,Hat,Accessories,68,New Mexico,White,Summer
25,Male,Dress,Clothing,92,Michigan,Charcoal,Spring
55,Male,Pants,Clothing,77,Wyoming,Violet,Winter
62,Male,Coat,Outerwear,37,New Jersey,Magenta,Spring
41,Male,Scarf,Accessories,79,New Jersey,White,Winter
58,Male,Hoodie,Clothing,51,Hawaii,Pink,Winter
56,Male,Socks,Clothing,27,Nevada,Lavender,Summer
25,Male,Blouse,Clothing,23,New Hampshire,Pink,Spring
70,Male,Socks,Clothing,76,Indiana,Silver,Summer
42,Male,Dress,Clothing,31,New York,Violet,Fall
27,Male,Hoodie,Clothing,60,Louisiana,Charcoal,Winter
65,Male,T-shirt,Clothing,99,Virginia,Charcoal,Spring
62,Male,Hat,Accessories,37,Wisconsin,Red,Winter
62,Male,Boots,Footwear,50,Oregon,Peach,Winter
52,Male,Jeans,Clothing,26,New Hampshire,Purple,Winter
56,Male,Shorts,Clothing,86,Indiana,Orange,Spring
28,Male,Sandals,Footwear,41,Massachusetts,Magenta,Fall
39,Male,Sandals,Footwear,23,Montana,Red,Winter
54,Male,Sneakers,Footwear,56,California,Black,Spring
30,Male,Hat,Accessories,68,Indiana,Peach,Fall
45,Male,Coat,Outerwear,48,West Virginia,Olive,Winter
68,Male,Dress,Clothing,67,Minnesota,Gold,Spring
47,Male,Boots,Footwear,87,Ohio,Gold,Spring
68,Male,Skirt,Clothing,64,Minnesota,Turquoise,Fall
63,Male,Shirt,Clothing,93,Virginia,Green,Spring
20,Male,Shirt,Clothing,29,Connecticut,Maroon,Summer
29,Male,Boots,Footwear,62,Tennessee,Brown,Winter
41,Male,Hoodie,Clothing,70,Delaware,Brown,Winter
52,Male,Sweater,Clothing,92,Vermont,Blue,Winter
32,Male,Shirt,Clothing,79,Louisiana,Lavender,Spring
20,Male,Blouse,Clothing,31,North Dakota,Peach,Fall
47,Male,T-shirt,Clothing,83,Oregon,Gray,Spring
23,Male,Jacket,Outerwear,88,Idaho,Charcoal,Winter
43,Male,Jewelry,Accessories,53,Vermont,Lavender,Spring
67,Male,Hoodie,Clothing,98,West Virginia,Green,Fall
70,Male,Jewelry,Accessories,57,Kentucky,Gray,Spring
35,Male,Sandals,Footwear,80,Wisconsin,Orange,Winter
41,Male,Jeans,Clothing,29,Mississippi,Silver,Spring
54,Male,Hat,Accessories,73,Missouri,Olive,Spring
55,Male,Sweater,Clothing,32,Arkansas,Turquoise,Fall
51,Male,Boots,Footwear,68,Wyoming,Turquoise,Spring
19,Male,Blouse,Clothing,97,Rhode Island,Green,Spring
28,Male,Shorts,Clothing,98,Utah,Violet,Fall
63,Male,Hoodie,Clothing,56,Maryland,Charcoal,Fall
30,Male,Pants,Clothing,78,Georgia,White,Winter
29,Male,Belt,Accessories,81,New Jersey,Olive,Spring
24,Male,Shirt,Clothing,68,New Hampshire,Violet,Winter
69,Male,Shirt,Clothing,94,Oregon,Violet,Winter
65,Male,Dress,Clothing,93,Arkansas,Black,Spring
64,Male,Gloves,Accessories,99,North Carolina,Charcoal,Fall
40,Male,Gloves,Accessories,49,West Virginia,Yellow,Winter
24,Male,Jeans,Clothing,28,Utah,Blue,Winter
66,Male,Belt,Accessories,93,South Dakota,Charcoal,Winter
35,Male,Jacket,Outerwear,24,New Hampshire,Red,Fall
67,Male,Skirt,Clothing,35,Maryland,Indigo,Spring
69,Male,Sandals,Footwear,68,South Dakota,Beige,Spring
26,Male,Belt,Accessories,61,Kentucky,Maroon,Summer
23,Male,Sweater,Clothing,74,Florida,Yellow,Fall
27,Male,Shirt,Clothing,64,Texas,Silver,Summer
30,Male,Sneakers,Footwear,60,New Mexico,Olive,Fall
48,Male,Jeans,Clothing,29,South Dakota,Teal,Spring
44,Male,Sandals,Footwear,85,New Jersey,Silver,Summer
29,Male,Pants,Clothing,81,Indiana,Indigo,Summer
29,Male,Belt,Accessories,23,Louisiana,Teal,Fall
67,Male,T-shirt,Clothing,100,West Virginia,Charcoal,Spring
42,Male,Shirt,Clothing,54,Maine,Orange,Fall
23,Male,Sneakers,Footwear,25,Idaho,Gold,Fall
34,Male,Blouse,Clothing,32,New York,Silver,Summer
64,Male,Backpack,Accessories,63,Montana,Orange,Spring
31,Male,Pants,Clothing,56,Mississippi,Peach,Spring
54,Male,Sweater,Clothing,33,Alaska,Brown,Winter
23,Male,Coat,Outerwear,32,Missouri,Black,Summer
59,Male,Dress,Clothing,38,Rhode Island,Red,Summer
32,Male,Blouse,Clothing,21,Hawaii,Lavender,Summer
43,Male,Hoodie,Clothing,59,South Carolina,Brown,Winter
32,Male,Shoes,Footwear,87,Tennessee,Maroon,Fall
66,Male,T-shirt,Clothing,79,Missouri,Violet,Winter
70,Male,Shoes,Footwear,28,Missouri,Lavender,Summer
42,Male,Boots,Footwear,67,Missouri,Magenta,Summer
56,Male,Shorts,Clothing,75,Mississippi,Green,Spring
28,Male,Belt,Accessories,32,Arkansas,Lavender,Spring
28,Male,Pants,Clothing,43,Kentucky,Green,Spring
52,Male,Shorts,Clothing,93,Connecticut,Maroon,Spring
65,Male,Sunglasses,Accessories,24,Oklahoma,Magenta,Spring
56,Male,Hat,Accessories,31,California,Teal,Fall
59,Male,T-shirt,Clothing,84,Missouri,Orange,Winter
23,Male,Pants,Clothing,74,Washington,Violet,Winter
58,Male,Shorts,Clothing,62,New York,Yellow,Spring
39,Male,Jewelry,Accessories,77,Indiana,Orange,Summer
28,Male,Backpack,Accessories,73,Oregon,Gold,Summer
40,Male,Shoes,Footwear,50,Texas,Indigo,Spring
52,Male,Coat,Outerwear,40,Florida,Turquoise,Winter
37,Male,Sweater,Clothing,97,Rhode Island,Orange,Winter
70,Male,Gloves,Accessories,63,Texas,Indigo,Fall
30,Male,Handbag,Accessories,65,Vermont,Charcoal,Fall
38,Male,Socks,Clothing,91,Maryland,Lavender,Spring
66,Male,Hoodie,Clothing,60,Alaska,Gold,Spring
29,Male,Pants,Clothing,69,Idaho,Lavender,Winter
46,Male,Coat,Outerwear,52,West Virginia,White,Spring
56,Male,Boots,Footwear,49,Nevada,Lavender,Fall
23,Male,Sneakers,Footwear,85,Oregon,Charcoal,Spring
37,Male,Sweater,Clothing,86,Tennessee,Silver,Spring
56,Male,Handbag,Accessories,51,Alabama,Yellow,Winter
36,Male,Belt,Accessories,56,Indiana,Olive,Winter
40,Male,Belt,Accessories,72,Idaho,Peach,Fall
26,Male,Hoodie,Clothing,27,Rhode Island,Yellow,Fall
57,Male,Sunglasses,Accessories,43,Arizona,Yellow,Summer
68,Male,Sneakers,Footwear,56,Florida,Indigo,Spring
56,Male,T-shirt,Clothing,37,New York,Violet,Fall
40,Male,Dress,Clothing,21,Nebraska,White,Fall
44,Male,Hoodie,Clothing,91,Mississippi,White,Winter
44,Male,Sweater,Clothing,95,Vermont,Cyan,Summer
19,Male,Belt,Accessories,54,Nebraska,Purple,Spring
21,Male,Socks,Clothing,36,South Carolina,Black,Spring
31,Male,Sunglasses,Accessories,71,Delaware,Orange,Fall
30,Male,Coat,Outerwear,31,Vermont,Maroon,Summer
65,Male,Hat,Accessories,89,Indiana,Orange,Spring
39,Male,Pants,Clothing,83,Oregon,Teal,Winter
64,Male,Backpack,Accessories,42,Maryland,Gray,Spring
59,Male,Shorts,Clothing,91,Florida,Blue,Summer
49,Male,Jacket,Outerwear,61,Indiana,Cyan,Spring
24,Male,Backpack,Accessories,66,Texas,Red,Summer
19,Male,Scarf,Accessories,22,Nebraska,Pink,Spring
27,Male,Hoodie,Clothing,68,North Carolina,Cyan,Winter
56,Male,Skirt,Clothing,43,Alabama,Black,Fall
49,Male,Dress,Clothing,32,Alabama,Beige,Fall
41,Male,Coat,Outerwear,46,Colorado,Gray,Fall
36,Male,Blouse,Clothing,90,Wisconsin,Red,Summer
68,Male,Hat,Accessories,75,Delaware,Yellow,Fall
28,Male,Handbag,Accessories,69,Indiana,Magenta,Winter
45,Male,Belt,Accessories,40,Iowa,Magenta,Fall
60,Male,Belt,Accessories,63,Iowa,Black,Fall
21,Male,Shirt,Clothing,36,Wisconsin,Orange,Summer
32,Male,Shoes,Footwear,75,Iowa,Green,Winter
27,Male,Scarf,Accessories,67,Montana,Peach,Summer
40,Male,Pants,Clothing,64,Mississippi,Charcoal,Spring
64,Male,Blouse,Clothing,61,Michigan,Gray,Fall
18,Male,Gloves,Accessories,40,Virginia,Turquoise,Winter
22,Male,Handbag,Accessories,97,New York,Red,Fall
42,Male,Sneakers,Footwear,31,Maine,Brown,Spring
57,Male,Sandals,Footwear,65,New Jersey,Pink,Spring
33,Male,Sunglasses,Accessories,54,Maryland,Olive,Spring
37,Male,Jacket,Outerwear,49,Kentucky,Lavender,Fall
21,Male,T-shirt,Clothing,64,Minnesota,Purple,Fall
51,Male,Sneakers,Footwear,35,Massachusetts,Beige,Winter
30,Male,Shoes,Footwear,86,Illinois,Green,Winter
68,Male,Jacket,Outerwear,55,Michigan,Brown,Winter
36,Male,Scarf,Accessories,58,Wisconsin,Beige,Spring
46,Male,Sneakers,Footwear,96,Alaska,Beige,Fall
41,Male,Jewelry,Accessories,64,Mississippi,Indigo,Fall
68,Male,Jacket,Outerwear,56,Oregon,Silver,Fall
21,Male,Blouse,Clothing,85,Maryland,Gold,Winter
62,Male,Dress,Clothing,23,Arkansas,Lavender,Spring
59,Male,Scarf,Accessories,72,Illinois,Orange,Fall
25,Male,Hat,Accessories,38,Arkansas,Maroon,Summer
53,Male,Blouse,Clothing,29,Mississippi,White,Winter
31,Male,Gloves,Accessories,46,Arkansas,Yellow,Spring
46,Male,Gloves,Accessories,58,Idaho,Yellow,Spring
26,Male,Coat,Outerwear,43,Iowa,Magenta,Fall
47,Male,Scarf,Accessories,32,West Virginia,Turquoise,Spring
37,Male,Pants,Clothing,30,Wisconsin,Lavender,Winter
55,Male,Sunglasses,Accessories,67,Massachusetts,Magenta,Summer
30,Male,Dress,Clothing,45,Texas,Cyan,Summer
19,Male,Hat,Accessories,81,Nebraska,Olive,Winter
36,Male,Backpack,Accessories,23,Nevada,Red,Fall
23,Male,Sandals,Footwear,59,Indiana,Blue,Fall
62,Male,Sunglasses,Accessories,21,North Dakota,White,Summer
26,Male,Backpack,Accessories,20,Georgia,Peach,Spring
36,Male,Jewelry,Accessories,28,New Mexico,Charcoal,Winter
33,Male,Socks,Clothing,100,New Hampshire,Peach,Winter
32,Male,Shirt,Clothing,46,Washington,Turquoise,Spring
56,Male,Handbag,Accessories,61,Nevada,Charcoal,Spring
58,Male,Blouse,Clothing,58,Maine,Yellow,Winter
34,Male,Backpack,Accessories,50,Idaho,Blue,Spring
61,Male,Hat,Accessories,93,Tennessee,Purple,Summer
48,Male,Skirt,Clothing,24,Louisiana,Green,Summer
25,Male,Shorts,Clothing,100,Michigan,Charcoal,Summer
51,Male,Blouse,Clothing,79,New Hampshire,Indigo,Fall
29,Male,Socks,Clothing,51,Minnesota,Black,Summer
54,Male,Belt,Accessories,90,Illinois,Blue,Winter
48,Male,Boots,Footwear,56,Idaho,Silver,Summer
62,Male,Shorts,Clothing,25,Montana,Brown,Spring
18,Male,Shirt,Clothing,75,Alabama,Violet,Summer
43,Male,Handbag,Accessories,75,Montana,Orange,Summer
22,Male,Jeans,Clothing,53,California,Gray,Summer
68,Male,Dress,Clothing,100,Pennsylvania,Gold,Spring
44,Male,Dress,Clothing,27,Texas,Charcoal,Fall
